Player,Team,Position,Experience,Salary
Geovany Soto,Chicago Cubs,Catcher,15,3000000
Gerald Laird,St. Louis Cardinals,Catcher,9,1000000
Gerardo Parra,Arizona Diamondbacks,Outfielder,11,426000
Giovany Gonzalez,Oakland Athletics,Pitcher,7,420000
Glen Perkins,Minnesota Twins,Pitcher,8,700000
Gordon Beckham,Chicago White Sox,Second Baseman,14,485000
Grady Sizemore,Cleveland Indians,Outfielder,18,7666666
Grant Balfour,Oakland Athletics,Pitcher,13,3750000
Greg Dobbs,Miami Marlins,First Baseman,5,600000
Guillermo Mota,San Francisco Giants,Pitcher,12,925000
Gustavo Molina,New York Yankees,Catcher,17,455000
Hank Conger,Los Angeles Angels,Catcher,11,414000
Hanley Ramirez,Miami Marlins,Shortstop,6,11000000
Heath Bell,San Diego Padres,Pitcher,11,7500000
Hector Gimenez,Los Angeles Dodgers,Catcher,14,425000
Henry Alberto Rodriguez,Washington Nationals,Pitcher,3,415000
Henry Barrera,Kansas City Royals,Pitcher,4,414000
Henry Blanco,Arizona Diamondbacks,Catcher,14,1000000
Hideki Matsui,Oakland Athletics,Designated Hitter,11,4250000
Hiroki Kuroda,Los Angeles Dodgers,Pitcher,12,11765724
Hisanori Takahashi,Los Angeles Angels,Pitcher,16,3800000
Homer Bailey,Cincinnati Reds,Pitcher,22,441000
Hong-Chih Kuo,Los Angeles Dodgers,Pitcher,10,2725000
Howie Kendrick,Los Angeles Angels,Second Baseman,14,3300000
Humberto Quintero,Houston Astros,Catcher,24,1000000
Hunter Pence,Houston Astros,Outfielder,3,6900000
Huston Street,Colorado Rockies,Pitcher,21,7300000
Ian Desmond,Washington Nationals,Shortstop,4,441500
Ian Kennedy,Arizona Diamondbacks,Pitcher,12,423000
Ian Kinsler,Texas Rangers,Second Baseman,14,6200000
Ian Stewart,Colorado Rockies,Third Baseman,6,2287500
Ichiro Suzuki,Seattle Mariners,Outfielder,10,18000000
Ike Davis,New York Mets,First Baseman,3,432000
Ivan DeJesus,Los Angeles Dodgers,Shortstop,1,414000
Ivan Nova,New York Yankees,Pitcher,17,432900
Ivan Rodriguez,Washington Nationals,Catcher,20,3000000
J.A. Happ,Houston Astros,Pitcher,12,474000
J.C. Romero,Philadelphia Phillies,Pitcher,20,1350000
J.D. Drew,Boston Red Sox,Outfielder,11,14000000
J.J. Hardy,Baltimore Orioles,Shortstop,6,5850000
J.J. Putz,Arizona Diamondbacks,Pitcher,7,4000000
J.P. Arencibia,Toronto Blue Jays,Catcher,38,417400
J.P. Howell,Tampa Bay Rays,Pitcher,15,1100000
J.R. Towles,Houston Astros,Catcher,14,424000
Jack Cust,Seattle Mariners,Designated Hitter,5,2500000
Jack Hannahan,Cleveland Indians,Third Baseman,11,500000
Jack Wilson,Seattle Mariners,Second Baseman,12,5000000
Jacoby Ellsbury,Boston Red Sox,Outfielder,6,2400000
Jaime Garcia,St. Louis Cardinals,Pitcher,2,437000
Jair Jurrjens,Atlanta Braves,Pitcher,17,3250000
Jake Arrieta,Baltimore Orioles,Pitcher,25,419000
